graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
sp021,0,2.23,1.88,4816796
sp022,0,2.26,1.91,4822588
sp023,0,2.27,1.92,4820236
sp024,0,2.27,1.93,4820916
sp025,0,2.27,1.9,4825204
sp026,0,2.28,1.89,4821888
sp027,0,2.32,1.91,4829784
sp028,0,2.28,1.9,4828516
sp029,0,2.32,1.92,4838340
sp030,0,2.33,1.93,4843952
suzuki_instance_2_10_2_2,0,2.13,1.88,4807672
suzuki_instance_2_10_2_3,0,2.27,1.91,4822036
suzuki_instance_2_11_2_2,0,2.12,1.86,4809816
suzuki_instance_2_11_2_3,0,2.28,1.91,4829824
suzuki_instance_2_12_2_2,0,2.16,1.88,4813160
suzuki_instance_2_12_2_3,0,2.27,1.9,4827660
suzuki_instance_2_13_2_2,0,2.1799999999999997,1.88,4827540
suzuki_instance_2_13_2_3,0,2.33,1.92,4836544
suzuki_instance_2_14_2_2,0,2.25,1.91,4824080
suzuki_instance_2_14_2_3,0,2.35,1.95,4841428
suzuki_instance_2_15_2_2,0,2.23,1.88,4823992
suzuki_instance_2_15_2_3,0,2.37,1.95,4849684
suzuki_instance_2_16_2_2,0,2.26,1.91,4824596
suzuki_instance_2_16_2_3,0,2.34,1.93,4852600
suzuki_instance_2_17_2_2,0,2.23,1.88,4825032
suzuki_instance_2_17_2_3,0,2.38,1.96,4861048
suzuki_instance_2_18_2_2,0,2.25,1.89,4829344
suzuki_instance_2_18_2_3,0,2.4,1.96,4872364
suzuki_instance_2_19_2_2,0,2.28,1.92,4835588
suzuki_instance_2_19_2_3,0,2.42,1.99,4880368
suzuki_instance_2_20_2_2,0,2.28,1.91,4836400
suzuki_instance_2_20_2_3,0,2.46,1.99,4889160
suzuki_instance_2_4_2_2,0,1.98,1.83,4797240
suzuki_instance_2_4_2_3,0,2.09,1.88,4801288
suzuki_instance_2_5_2_2,0,2.03,1.85,4799236
suzuki_instance_2_5_2_3,0,2.09,1.86,4802600
suzuki_instance_2_6_2_2,0,2.1,1.89,4802412
suzuki_instance_2_6_2_3,0,2.12,1.87,4820092
suzuki_instance_2_7_2_2,0,2.08,1.86,4805408
suzuki_instance_2_7_2_3,0,2.19,1.88,4811572
suzuki_instance_2_8_2_2,0,2.08,1.85,4806984
suzuki_instance_2_8_2_3,0,2.21,1.89,4815348
suzuki_instance_2_9_2_2,0,2.1,1.88,4804528
suzuki_instance_2_9_2_3,0,2.2199999999999998,1.87,4818448
suzuki_instance_3_10_2_2,0,2.2,1.88,4821680
suzuki_instance_3_10_2_3,0,2.36,1.95,4846824
suzuki_instance_3_11_2_2,0,2.24,1.91,4823792
suzuki_instance_3_11_2_3,0,2.38,1.95,4863808
suzuki_instance_3_12_2_2,0,2.27,1.92,4829236
suzuki_instance_3_12_2_3,0,2.4,1.98,4868004
suzuki_instance_3_13_2_2,0,2.27,1.9,4836252
suzuki_instance_3_13_2_3,0,2.42,1.97,4885324
suzuki_instance_3_14_2_2,0,2.28,1.92,4839412
suzuki_instance_3_14_2_3,0,2.49,1.98,4900296
suzuki_instance_3_15_2_2,0,2.32,1.93,4846048
suzuki_instance_3_15_2_3,0,2.51,2.0,4915476
suzuki_instance_3_16_2_2,0,2.33,1.96,4848664
suzuki_instance_3_16_2_3,0,2.5,2.02,4934328
suzuki_instance_3_17_2_2,0,2.36,1.95,4858896
suzuki_instance_3_17_2_3,0,2.58,2.06,4951700
suzuki_instance_3_18_2_2,0,2.35,1.95,4866316
suzuki_instance_3_18_2_3,0,2.66,2.1,4971304
suzuki_instance_3_19_2_2,0,2.38,1.96,4877328
suzuki_instance_3_19_2_3,0,2.66,2.09,4998360
suzuki_instance_3_20_2_2,0,2.41,1.98,4888784
suzuki_instance_3_20_2_3,0,2.73,2.12,5028172
suzuki_instance_3_4_2_2,0,2.08,1.87,4812392
suzuki_instance_3_4_2_3,0,2.13,1.87,4806888
suzuki_instance_3_5_2_2,0,2.08,1.86,4798044
suzuki_instance_3_5_2_3,0,2.21,1.87,4817960
suzuki_instance_3_6_2_2,0,2.1,1.88,4802484
suzuki_instance_3_6_2_3,0,2.2399999999999998,1.91,4818852
suzuki_instance_3_7_2_2,0,2.15,1.89,4807664
suzuki_instance_3_7_2_3,0,2.27,1.91,4821988
suzuki_instance_3_8_2_2,0,2.19,1.87,4816824
suzuki_instance_3_8_2_3,0,2.29,1.9,4834196
suzuki_instance_3_9_2_2,0,2.21,1.88,4817292
suzuki_instance_3_9_2_3,0,2.31,1.93,4837448
wap01a,0,6.32,5.12,7226188
wap02a,0,6.380000000000001,5.28,7831192
wap03a,0,33.61,32.33,22937912
wap04a,0,41.19,40.07,33812016
wap05a,0,3.5,2.35,5080544
wap06a,0,3.48,2.43,5116956
wap07a,0,5.14,3.94,6149656
wap08a,0,5.42,4.16,6416300
will199GPIA,0,2.9699999999999998,2.06,4942412
