graph_name,pw,type
ph-13-13,350,orig
ph-14-13,376,orig
ph-14-14,405,orig
ph-15-14,433,orig
ph-15-15,464,orig
ph-16-15,494,orig
ph-16-16,527,orig
ph-17-16,559,orig
ph-17-17,594,orig
ph-18-17,628,orig
ph-18-18,665,orig
ph-19-18,701,orig
ph-19-19,740,orig
ph-20-19,778,orig
ph-20-20,819,orig
random_instance001_graph001,9,orig
random_instance001_graph002,8,orig
random_instance001_graph003,10,orig
random_instance001_graph004,9,orig
random_instance001_graph005,10,orig
random_instance002_graph001,18,orig
random_instance002_graph002,15,orig
random_instance002_graph003,16,orig
random_instance002_graph004,15,orig
random_instance002_graph005,18,orig
random_instance003_graph001,26,orig
random_instance003_graph002,21,orig
random_instance003_graph003,28,orig
random_instance003_graph004,27,orig
random_instance003_graph005,26,orig
random_instance004_graph001,35,orig
random_instance004_graph002,35,orig
random_instance004_graph003,31,orig
random_instance004_graph004,33,orig
random_instance004_graph005,33,orig
random_instance005_graph001,43,orig
random_instance005_graph002,41,orig
random_instance005_graph003,40,orig
random_instance005_graph004,38,orig
random_instance005_graph005,40,orig
random_instance006_graph001,46,orig
random_instance006_graph002,44,orig
random_instance006_graph003,49,orig
random_instance006_graph004,48,orig
random_instance006_graph005,51,orig
random_instance007_graph001,56,orig
random_instance007_graph002,50,orig
random_instance007_graph003,54,orig
random_instance007_graph004,54,orig
random_instance007_graph005,53,orig
random_instance008_graph001,62,orig
random_instance008_graph002,59,orig
random_instance008_graph003,64,orig
random_instance008_graph004,64,orig
random_instance008_graph005,58,orig
random_instance009_graph001,71,orig
random_instance009_graph002,72,orig
random_instance009_graph003,66,orig
random_instance009_graph004,75,orig
random_instance009_graph005,72,orig
random_instance010_graph001,79,orig
random_instance010_graph002,78,orig
random_instance010_graph003,71,orig
random_instance010_graph004,78,orig
random_instance010_graph005,77,orig
random_instance011_graph001,91,orig
random_instance011_graph002,86,orig
random_instance011_graph003,82,orig
random_instance011_graph004,83,orig
random_instance011_graph005,86,orig
