graph_name,vertices,edges,dat_file,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
games120,120,638,games120_02,21,30467298966717,13,32,46,91,638.10004,7180.19,7179.5703,640.61,7205.0,7204.0,34597520,283202944,279646172,638.227112,,,804613,,,1,0,0,,,,116.73,2.08,102.32,1.86,58817300,4803568,1,1
huck,74,301,huck_01,27,1537558481760,7,10,16,48,0.03,0.049999997,1.02,0.04,0.05,1.03,34040,34036,151892,0.020091,0.037024,0.644287,234,903,128070,1,1,1,,,,3.56,1.98,2.66,1.83,5666792,4797160,1,1
huck,74,301,huck_02,26,1537558481760,7,10,16,48,0.04,0.05,3.32,0.04,0.06,3.33,34036,35060,269824,0.020246,0.037286,0.660397,234,903,128070,1,1,1,,,,3.56,1.98,2.66,1.83,5666792,4797160,1,1
latin_square_10,900,307350,latin_square_10_01,9,,,851,851,891,7183.0703,7192.6,7186.21,7204.0,7213.0,7208.0,548621644,548626156,543357552,,,,,,,0,0,0,,,,1483.17,9.0,1391.71,7.97,147924384,5586976,1,1
latin_square_10,900,307350,latin_square_10_02,9,,,851,851,891,7189.87,7184.2,7182.96,7210.0,7205.0,7204.0,539220828,548818260,543848012,,,,,,,0,0,0,,,,1483.17,9.0,1391.71,7.97,147924384,5586976,1,1
le450_15a,450,8168,le450_15a_01,75,,,,284,386,,7186.69,7185.2197,,7207.0,7208.0,,290408524,533881916,,,,,,,0,0,0,,,,,2.87,,1.96,,4881848,0,1
le450_15a,450,8168,le450_15a_02,74,,,,284,386,,7185.67,7181.91,,7207.0,7204.0,,290556408,542125312,,,,,,,0,0,0,,,,,2.87,,1.96,,4881848,0,1
le450_15b,450,8169,le450_15b_01,78,,,,281,381,,7185.14,7180.38,,7207.0,7204.0,,284426044,551278304,,,,,,,0,0,0,,,,,2.84,,1.96,,4876928,0,1
le450_15b,450,8169,le450_15b_02,77,,,,281,381,,7179.6597,7189.96,,7201.0,7213.0,,288257012,541907128,,,,,,,0,0,0,,,,,2.84,,1.96,,4876928,0,1
le450_15c,450,16680,le450_15c_01,41,,,,358,420,,1796.61,1796.25,,1800.45,1800.48,,133760068,144213816,,,,,,,0,0,0,,,,,2.94,,2.0,,4893128,0,1
